system,domain,task,test_id,scientific_accuracy,functional_equivalence,reasoning_quality,completeness,interpretability,overall
Online KG+LLM,in-domain,forward,in-domain_3,0.685316300392151,0.35221996903419495,0.43600000000000005,0.7785714285714285,0.8109999999999998,0.6126215395995549
Online KG+LLM,in-domain,forward,in-domain_4,0.6870750427246094,0.4839911460876465,0.7999999999999999,0.7785714285714285,0.9249999999999998,0.7349275234767367
Online KG+LLM,in-domain,forward,in-domain_5,0.5939777612686158,0.5941699147224426,0.46799999999999997,0.8,0.7929999999999999,0.6498295351982117
Online KG+LLM,in-domain,forward,in-domain_6,0.6273572206497193,0.5027401447296143,0.07800000000000001,0.7785714285714285,0.8029999999999999,0.5579337587901524
Online KG+LLM,in-domain,forward,in-domain_7,0.6052367210388184,0.546255886554718,0.30899999999999994,0.8,0.7589999999999999,0.6038985215187073
Online KG+LLM,in-domain,forward,in-domain_8,0.633882999420166,0.48391908407211304,0.125,0.7785714285714285,0.7749999999999999,0.5592747024127415
Online KG+LLM,in-domain,forward,in-domain_9,0.6635165452957154,0.5558831691741943,0.62,0.8,0.8949999999999999,0.706879942893982
ARIA,in-domain,forward,in-domain_0,0.5490195512771607,0.31332024931907654,0.21,0.9312499999999999,0.9249999999999998,0.5857179601192474
ARIA,in-domain,forward,in-domain_1,0.5776182174682618,0.5320473313331604,0.39099999999999996,0.9312499999999999,0.9249999999999998,0.6713831097602844
ARIA,in-domain,forward,in-domain_2,0.6156758546829224,0.40512028336524963,0.5519999999999999,0.9312499999999999,0.9249999999999998,0.6858092276096344
ARIA,in-domain,forward,in-domain_3,0.6028537273406983,0.34975001215934753,0.22399999999999998,0.9312499999999999,0.9249999999999998,0.6065707479000091
ARIA,in-domain,forward,in-domain_4,0.5952077865600587,0.3302716910839081,0.322,0.9312499999999999,0.9249999999999998,0.6207458955287933
ARIA,in-domain,forward,in-domain_5,0.5658636927604676,0.437894344329834,0.558,0.9312499999999999,0.9249999999999998,0.6836016074180602
ARIA,in-domain,forward,in-domain_6,0.5414746880531311,0.3833635151386261,0.276,0.9312499999999999,0.9249999999999998,0.6114176406383514
ARIA,in-domain,forward,in-domain_7,0.5982378840446473,0.4699912369251251,0.252,0.9312499999999999,0.9249999999999998,0.6352958241939545
ARIA,in-domain,forward,in-domain_8,0.5417837023735047,0.3821260631084442,0.322,0.9312499999999999,0.9249999999999998,0.6204319530963897
ARIA,in-domain,forward,in-domain_9,0.5527085661888123,0.6365673542022705,0.208,0.9312499999999999,0.9249999999999998,0.6507051840782164
Baseline LLM,in-domain,inverse,in-domain_0,0.05841680765151978,0.14604201912879944,0.5469999999999999,0.7714285714285714,0.8469999999999999,0.4739774796417781
Baseline LLM,in-domain,inverse,in-domain_1,0.2683937748273214,0.3376511037349701,0.46499999999999997,0.7549999999999999,0.8649999999999999,0.5382089757124582
Baseline LLM,in-domain,inverse,in-domain_2,0.08385446071624757,0.2096361517906189,0.08600000000000001,0.736842105263158,0.8109999999999998,0.38546654355400484
Baseline LLM,in-domain,inverse,in-domain_3,0.10189393758773804,0.2547348439693451,0.15500000000000003,0.7842105263157895,0.8049999999999999,0.42016786157457453
Baseline LLM,in-domain,inverse,in-domain_4,0.1327046036720276,0.33176150918006897,0.41400000000000003,0.7526315789473683,0.8889999999999999,0.5040195383598929
Baseline LLM,in-domain,inverse,in-domain_5,0.15364359617233278,0.3841089904308319,0.40299999999999997,0.74,0.8029999999999999,0.4967505173206329
Baseline LLM,in-domain,inverse,in-domain_6,0.08871091604232789,0.2217772901058197,0.331,0.759090909090909,0.8809999999999999,0.45631582304781126
Baseline LLM,in-domain,inverse,in-domain_7,0.06314032077789307,0.15785080194473267,0.532,0.7526315789473683,0.8569999999999999,0.4725245403339988
Baseline LLM,in-domain,inverse,in-domain_8,0.08231133818626404,0.2057783454656601,0.0,0.7739130434782608,0.075,0.227400545426037
Baseline LLM,in-domain,inverse,in-domain_9,0.12360084056854248,0.3090021014213562,0.0,0.7625,0.075,0.2540205883979797
Naive KG+LLM,in-domain,inverse,in-domain_0,0.17257534762223561,0.0981050357222557,0.0,0.7769230769230768,0.35,0.27952069205351365
Naive KG+LLM,in-domain,inverse,in-domain_1,0.5513959169387818,0.37848979234695435,0.0,0.7769230769230768,0.35,0.4113617572417626
Naive KG+LLM,in-domain,inverse,in-domain_2,0.12943746149539948,0.07359365373849869,0.0,0.7538461538461538,0.35,0.2613754538160104
Naive KG+LLM,in-domain,inverse,in-domain_3,0.508970320224762,0.2724258005619049,0.0,0.7538461538461538,0.35,0.37704845492656414
Naive KG+LLM,in-domain,inverse,in-domain_4,0.5025969386100769,0.25649234652519226,0.0,0.7769230769230768,0.35,0.3772024724116692
Naive KG+LLM,in-domain,inverse,in-domain_5,0.5417919039726258,0.35447975993156433,0.0,0.7538461538461538,0.35,0.40002356355006874
Naive KG+LLM,in-domain,inverse,in-domain_6,0.09330250024795533,0.2332562506198883,0.0,0.78,0.35,0.29131175017356875
Naive KG+LLM,in-domain,inverse,in-domain_7,0.02964962422847748,0.0741240605711937,0.0,0.7538461538461538,0.35,0.241523967729165
Naive KG+LLM,in-domain,inverse,in-domain_8,0.4857139647006989,0.21428491175174713,0.0,0.8,0.35,0.3699997752904892
Naive KG+LLM,in-domain,inverse,in-domain_9,0.0960349202156067,0.24008730053901672,0.0,0.7769230769230768,0.35,0.29260905953554006
Online KG+LLM,in-domain,inverse,in-domain_0,0.48097971677780155,0.20244929194450378,0.287,0.8,0.7869999999999999,0.5114858017444611
Online KG+LLM,in-domain,inverse,in-domain_1,0.5389228343963623,0.34730708599090576,0.688,0.8,0.8129999999999998,0.6374459840774536
Online KG+LLM,in-domain,inverse,in-domain_2,0.484708571434021,0.2117714285850525,0.014000000000000002,0.7823529411764705,0.7389999999999999,0.4463665882391088
Online KG+LLM,in-domain,inverse,in-domain_3,0.43748354613780976,0.09370886534452438,0.24,0.8,0.8149999999999998,0.47723848229646676
Online KG+LLM,in-domain,inverse,in-domain_4,0.4860108375549317,0.2150270938873291,0.156,0.8,0.7809999999999999,0.48760758628845213
Online KG+LLM,in-domain,inverse,in-domain_5,0.5729048609733582,0.4322621524333954,0.312,0.8,0.7869999999999999,0.5808334026813508
Online KG+LLM,in-domain,inverse,in-domain_6,0.06202467679977417,0.15506169199943542,0.34,0.7857142857142856,0.8149999999999998,0.43156013090269896
Online KG+LLM,in-domain,inverse,in-domain_7,0.04118166565895081,0.10295416414737701,0.272,0.8,0.8469999999999999,0.41262716596126553
Online KG+LLM,in-domain,inverse,in-domain_8,0.46528964638710024,0.16322411596775055,0.55,0.8,0.9249999999999998,0.5807027524709701
Online KG+LLM,in-domain,inverse,in-domain_9,0.06505225300788879,0.16263063251972198,0.24,0.7849999999999999,0.8149999999999998,0.41353657710552205
ARIA,in-domain,inverse,in-domain_0,0.47172083854675295,0.17930209636688232,0.21999999999999997,0.8,0.9249999999999998,0.519204586982727
ARIA,in-domain,inverse,in-domain_1,0.6053943157196046,0.5134857892990112,0.313,0.8,0.9249999999999998,0.6313760210037231
ARIA,in-domain,inverse,in-domain_2,0.5170216798782349,0.29255419969558716,0.35,0.8,0.9249999999999998,0.5769151759147644
ARIA,in-domain,inverse,in-domain_3,0.5105471014976501,0.27636775374412537,0.417,0.7749999999999999,0.9249999999999998,0.5807829710483551
ARIA,in-domain,inverse,in-domain_4,0.49794589877128603,0.24486474692821503,0.129,0.8,0.9249999999999998,0.5193621291399002
ARIA,in-domain,inverse,in-domain_5,0.5788132548332214,0.4470331370830536,0.123,0.8,0.9249999999999998,0.574769278383255
ARIA,in-domain,inverse,in-domain_6,0.1302311062812805,0.3255777657032013,0.228,0.8,0.9249999999999998,0.4817617743968963
ARIA,in-domain,inverse,in-domain_7,0.06517870426177978,0.16294676065444946,0.202,0.7916666666666665,0.9249999999999998,0.42935842631657917
ARIA,in-domain,inverse,in-domain_8,0.4749754846096039,0.1874387115240097,0.139,0.8,0.9249999999999998,0.5052828392267227
ARIA,in-domain,inverse,in-domain_9,0.11351970434188843,0.28379926085472107,0.258,0.7925,0.9249999999999998,0.4745637930393219
Baseline LLM,out-of-domain,forward,out-of-domain_0,0.4178560495376587,0.5446401238441467,0.7,0.5833333333333333,0.9249999999999998,0.6341659013430277
Baseline LLM,out-of-domain,forward,out-of-domain_1,0.3836074352264405,0.47627580165863037,0.676,0.7666666666666666,0.9009999999999999,0.6407099807103475
Baseline LLM,out-of-domain,forward,out-of-domain_2,0.32726797660191853,0.39151713252067566,0.516,0.6166666666666667,0.8409999999999999,0.5384903551578522
Baseline LLM,out-of-domain,forward,out-of-domain_3,0.587369167804718,0.561123251914978,0.554,0.6499999999999999,0.8789999999999999,0.6462984839439392
Baseline LLM,out-of-domain,forward,out-of-domain_4,0.3952718734741211,0.3958035409450531,0.51,0.7166666666666666,0.8349999999999999,0.5705484162171681
Baseline LLM,out-of-domain,forward,out-of-domain_5,0.19189795255661013,0.39364132285118103,0.592,0.6,0.9169999999999998,0.5389078550815583
Baseline LLM,out-of-domain,forward,out-of-domain_6,0.3090249379475911,0.3424359858036041,0.46,0.6499999999999999,0.8849999999999999,0.529292184750239
Baseline LLM,out-of-domain,forward,out-of-domain_7,0.34623119831085203,0.3847561776638031,0.716,0.6499999999999999,0.8409999999999999,0.5875974751949309
Baseline LLM,out-of-domain,forward,out-of-domain_8,0.6094946146011353,0.477123886346817,0.7,0.7166666666666666,0.9249999999999998,0.6856570335229237
Baseline LLM,out-of-domain,forward,out-of-domain_9,0.35111452341079713,0.3777863085269928,0.6,0.5833333333333333,0.9249999999999998,0.5674468330542245
Naive KG+LLM,out-of-domain,forward,out-of-domain_0,0.48363850116729745,0.595321536064148,0.0,0.75,0.35,0.4357920074462891
Naive KG+LLM,out-of-domain,forward,out-of-domain_1,0.4018755435943604,0.3726844787597656,0.0,0.75,0.35,0.3749120044708252
Naive KG+LLM,out-of-domain,forward,out-of-domain_2,0.43129321734110515,0.3907409608364105,0.0,0.75,0.35,0.38440683563550315
Naive KG+LLM,out-of-domain,forward,out-of-domain_3,0.5558921456336976,0.41838014125823975,0.0,0.75,0.35,0.4148544573783875
Naive KG+LLM,out-of-domain,forward,out-of-domain_4,0.26776249408721925,0.31278517842292786,0.0,0.625,0.35,0.3111095345020294
Naive KG+LLM,out-of-domain,forward,out-of-domain_5,0.18858288526535036,0.4698063135147095,0.0,0.75,0.35,0.35167783975601197
Naive KG+LLM,out-of-domain,forward,out-of-domain_6,0.4556870142618815,0.30174699425697327,0.0,0.75,0.35,0.371486801703771
Naive KG+LLM,out-of-domain,forward,out-of-domain_7,0.34557772874832154,0.2174670398235321,0.0,0.75,0.35,0.3326089537143707
Naive KG+LLM,out-of-domain,forward,out-of-domain_8,0.18169578313827517,0.24656493961811066,0.0,0.6499999999999999,0.35,0.28565214455127713
Naive KG+LLM,out-of-domain,forward,out-of-domain_9,0.36614968776702883,0.23948843777179718,0.0,0.6100000000000001,0.35,0.31312762510776526
Online KG+LLM,out-of-domain,forward,out-of-domain_0,0.47681467533111577,0.6132760643959045,0.012,0.8,0.7369999999999999,0.527818147945404
Online KG+LLM,out-of-domain,forward,out-of-domain_1,0.3714277505874634,0.5106685757637024,0.347,0.8,0.7969999999999998,0.565219265270233
Online KG+LLM,out-of-domain,forward,out-of-domain_2,0.43030717770258586,0.43595749139785767,0.012,0.8,0.7369999999999999,0.4830529338200886
Online KG+LLM,out-of-domain,forward,out-of-domain_3,0.5847517251968384,0.5848698616027832,0.19,0.8,0.7649999999999999,0.5849243173599243
Online KG+LLM,out-of-domain,forward,out-of-domain_4,0.20805037021636963,0.35137420892715454,0.012,0.7785714285714285,0.7369999999999999,0.4173992015429905
Online KG+LLM,out-of-domain,forward,out-of-domain_5,0.6022768259048462,0.5203311443328857,0.04000000000000001,0.8,0.7649999999999999,0.5455215940475464
Online KG+LLM,out-of-domain,forward,out-of-domain_6,0.2558930476506551,0.4051932096481323,0.146,0.8,0.7709999999999999,0.4756172514597575
Online KG+LLM,out-of-domain,forward,out-of-domain_7,0.35820698738098145,0.3005816638469696,0.37299999999999994,0.8,0.7729999999999999,0.5209577302455901
Online KG+LLM,out-of-domain,forward,out-of-domain_8,0.5958350539207459,0.46939000487327576,0.624,0.8,0.8489999999999999,0.6676450117588042
Online KG+LLM,out-of-domain,forward,out-of-domain_9,0.3288220286369324,0.42139047384262085,0.012,0.7571428571428571,0.7369999999999999,0.451271071924482
ARIA,out-of-domain,forward,out-of-domain_0,0.49525462388992314,0.36934879422187805,0.188,0.9318181818181819,0.9249999999999998,0.5818843199859967
ARIA,out-of-domain,forward,out-of-domain_1,0.3659824371337891,0.34186241030693054,0.186,0.9318181818181819,0.9249999999999998,0.5501326058517803
ARIA,out-of-domain,forward,out-of-domain_2,0.42545109192530317,0.3268098533153534,0.342,0.9318181818181819,0.9249999999999998,0.5902158254117676
ARIA,out-of-domain,forward,out-of-domain_3,0.5788643836975098,0.5906247496604919,0.27099999999999996,0.9312499999999999,0.9249999999999998,0.6593478266716003
ARIA,out-of-domain,forward,out-of-domain_4,0.2073922872543335,0.3086249530315399,0.15100000000000002,0.9318181818181819,0.9249999999999998,0.504767084420811
ARIA,out-of-domain,forward,out-of-domain_5,0.5552688002586366,0.4962621331214905,0.46399999999999997,0.9318181818181819,0.9249999999999998,0.6744698230396617
ARIA,out-of-domain,forward,out-of-domain_6,0.24877659877141317,0.4369952976703644,0.235,0.9318181818181819,0.9249999999999998,0.5555180156519919
ARIA,out-of-domain,forward,out-of-domain_7,0.31626580953598027,0.3753121793270111,0.39499999999999996,0.9312499999999999,0.9249999999999998,0.5885655977725982
ARIA,out-of-domain,forward,out-of-domain_8,0.5436585426330567,0.410215824842453,0.478,0.9312499999999999,0.9249999999999998,0.6576248734951019
ARIA,out-of-domain,forward,out-of-domain_9,0.33952720165252687,0.40064945816993713,0.432,0.9318181818181819,0.9249999999999998,0.6057989683281291
Baseline LLM,out-of-domain,inverse,out-of-domain_0,0.6147241353988648,0.5368103384971619,0.31899999999999995,0.7526315789473683,0.8689999999999999,0.618433210568679
Baseline LLM,out-of-domain,inverse,out-of-domain_1,0.5616589307785035,0.40414732694625854,0.307,0.7526315789473683,0.8069999999999998,0.5664875673344261
Baseline LLM,out-of-domain,inverse,out-of-domain_2,0.1211479902267456,0.302869975566864,0.020000000000000004,0.5800000000000001,0.7449999999999999,0.3538035931587219
Baseline LLM,out-of-domain,inverse,out-of-domain_3,0.31677263577779136,0.458598256111145,0.336,0.7526315789473683,0.8109999999999998,0.5350004941672609
Baseline LLM,out-of-domain,inverse,out-of-domain_4,0.07863248586654664,0.19658121466636658,0.32299999999999995,0.7526315789473683,0.8229999999999998,0.43476905589605624
Baseline LLM,out-of-domain,inverse,out-of-domain_5,0.13257600069046022,0.3314400017261505,0.381,0.7210526315789474,0.8309999999999998,0.47941372679911154
Baseline LLM,out-of-domain,inverse,out-of-domain_6,0.10307736396789552,0.25769340991973877,0.31,0.74,0.7849999999999999,0.4391541547775269
Baseline LLM,out-of-domain,inverse,out-of-domain_7,0.23857965469360354,0.3464491367340088,0.299,0.7526315789473683,0.7989999999999998,0.4871320740749961
Baseline LLM,out-of-domain,inverse,out-of-domain_8,0.04272427558898926,0.10681068897247314,0.636,0.7714285714285714,0.8609999999999999,0.48359270719800673
Baseline LLM,out-of-domain,inverse,out-of-domain_9,0.3416252136230469,0.3540630340576172,0.295,0.736842105263158,0.8449999999999999,0.5145060705887643
Naive KG+LLM,out-of-domain,inverse,out-of-domain_0,0.4855835318565369,0.21395882964134216,0.0,0.7538461538461538,0.35,0.36067770306880653
Naive KG+LLM,out-of-domain,inverse,out-of-domain_1,0.4414846956729889,0.10371173918247223,0.0,0.7769230769230768,0.35,0.3344239023557076
Naive KG+LLM,out-of-domain,inverse,out-of-domain_2,0.4871981322765351,0.21799533069133759,0.0,0.7769230769230768,0.35,0.3664233079781899
Naive KG+LLM,out-of-domain,inverse,out-of-domain_3,0.380501655737559,0.28458747267723083,0.0,0.7538461538461538,0.35,0.3537870564521888
Naive KG+LLM,out-of-domain,inverse,out-of-domain_4,0.08321070075035096,0.20802675187587738,0.0,0.7769230769230768,0.35,0.28363210590986104
Naive KG+LLM,out-of-domain,inverse,out-of-domain_5,0.14903719425201417,0.3725929856300354,0.0,0.8,0.35,0.3343260359764099
Naive KG+LLM,out-of-domain,inverse,out-of-domain_6,0.08871628642082215,0.22179071605205536,0.0,0.7769230769230768,0.35,0.28748601587919087
Naive KG+LLM,out-of-domain,inverse,out-of-domain_7,0.3387498021125793,0.34687450528144836,0.0,0.7538461538461538,0.35,0.35789409224803637
Naive KG+LLM,out-of-domain,inverse,out-of-domain_8,0.009658706933259965,0.02414676733314991,0.0,0.7769230769230768,0.35,0.23214571023789735
Naive KG+LLM,out-of-domain,inverse,out-of-domain_9,0.1229186773300171,0.3072966933250427,0.0,0.7769230769230768,0.35,0.31142768951562727
Online KG+LLM,out-of-domain,inverse,out-of-domain_0,0.478515362739563,0.19628840684890747,0.506,0.7849999999999999,0.8809999999999999,0.569360753917694
Online KG+LLM,out-of-domain,inverse,out-of-domain_1,0.5540341258049012,0.3850853145122528,0.012,0.8,0.7369999999999999,0.4976238880634307
Online KG+LLM,out-of-domain,inverse,out-of-domain_2,0.45129888057708745,0.1282472014427185,0.212,0.8,0.7869999999999999,0.47570921640396124
Online KG+LLM,out-of-domain,inverse,out-of-domain_3,0.24490949710210164,0.2789404094219208,0.012,0.7666666666666666,0.7369999999999999,0.4079033146381377
Online KG+LLM,out-of-domain,inverse,out-of-domain_4,0.09159135222434998,0.22897838056087494,0.012,0.8,0.7369999999999999,0.373913946557045
Online KG+LLM,out-of-domain,inverse,out-of-domain_5,0.07155604362487793,0.17889010906219482,0.012,0.7833333333333332,0.7369999999999999,0.35655589720408115
Online KG+LLM,out-of-domain,inverse,out-of-domain_6,0.05927447080612183,0.14818617701530457,0.133,0.8,0.7829999999999999,0.3846921295642852
Online KG+LLM,out-of-domain,inverse,out-of-domain_7,0.26700523495674133,0.16751308739185333,0.15300000000000002,0.7823529411764705,0.8029999999999999,0.43457425270501304
Online KG+LLM,out-of-domain,inverse,out-of-domain_8,0.049049547314643865,0.12262386828660965,0.416,0.7823529411764705,0.8409999999999999,0.44220527135554477
Online KG+LLM,out-of-domain,inverse,out-of-domain_9,0.12115875482559205,0.3028968870639801,0.012,0.8,0.7369999999999999,0.3946111283779144
ARIA,out-of-domain,inverse,out-of-domain_0,0.5672506213188172,0.41812655329704285,0.248,0.8,0.9249999999999998,0.591675434923172
ARIA,out-of-domain,inverse,out-of-domain_1,0.49615769982337954,0.2403942495584488,0.40099999999999997,0.8,0.9249999999999998,0.5725103898763656
ARIA,out-of-domain,inverse,out-of-domain_2,0.5195764899253845,0.2989412248134613,0.31299999999999994,0.8,0.9249999999999998,0.5713035429477691
ARIA,out-of-domain,inverse,out-of-domain_3,0.29046228726704915,0.39282238483428955,0.258,0.8,0.9249999999999998,0.5332569344202678
ARIA,out-of-domain,inverse,out-of-domain_4,0.0842579185962677,0.21064479649066925,0.05,0.8,0.9249999999999998,0.41398054301738735
ARIA,out-of-domain,inverse,out-of-domain_5,0.10570605993270875,0.26426514983177185,0.263,0.8,0.9249999999999998,0.4715942419528961
ARIA,out-of-domain,inverse,out-of-domain_6,0.07232924699783326,0.18082311749458313,0.264,0.8,0.9249999999999998,0.44843047289848326
ARIA,out-of-domain,inverse,out-of-domain_7,0.2098074793815613,0.2745186984539032,0.357,0.8,0.9249999999999998,0.5132652355670928
ARIA,out-of-domain,inverse,out-of-domain_8,0.02332960218191147,0.05832400545477867,0.214,0.8,0.9249999999999998,0.40413072152733803
ARIA,out-of-domain,inverse,out-of-domain_9,0.31970760822296146,0.29926902055740356,0.355,0.8,0.9249999999999998,0.5397953257560729
